Category,Parameter,F1,Precision,Recall
Bose J,"(100.0, 2.0)",0.8298368298368298,0.89,0.777292576419214
Bose J,"(200.0, 2.0)",0.8091603053435115,0.7186440677966102,0.925764192139738
Bose J,"(300.0, 2.0)",0.8723404255319149,0.8506224066390041,0.8951965065502183
Bose J,"(400.0, 2.0)",0.7414634146341463,0.8397790055248618,0.6637554585152838
Bose J,"(500.0, 2.0)",0.7704081632653061,0.9263803680981595,0.6593886462882096
Bose J,"(600.0, 2.0)",0.7584415584415585,0.9358974358974359,0.6375545851528385
Bose WC,"(100.0, 2.0)",0.7405405405405405,0.9716312056737588,0.5982532751091703
Bose WC,"(200.0, 2.0)",0.8537170263788969,0.9468085106382979,0.777292576419214
Bose WC,"(300.0, 2.0)",0.7571801566579636,0.9415584415584416,0.6331877729257642
Bose WC,"(400.0, 2.0)",0.7362637362637363,0.9925925925925926,0.5851528384279476
Bose WC,"(500.0, 2.0)",0.6801152737752161,1.0,0.5152838427947598
Bose WC,"(600.0, 2.0)",0.32234432234432236,1.0,0.19213973799126638
Earth Mover's Distance,"(100.0, 2.0)",0.783300198807157,0.718978102189781,0.8602620087336245
Earth Mover's Distance,"(200.0, 2.0)",0.8262548262548263,0.740484429065744,0.9344978165938864
Earth Mover's Distance,"(300.0, 2.0)",0.9197396963123644,0.9137931034482759,0.925764192139738
Earth Mover's Distance,"(400.0, 2.0)",0.7989821882951654,0.9573170731707317,0.6855895196506551
Earth Mover's Distance,"(500.0, 2.0)",0.8,0.9871794871794872,0.6724890829694323
Earth Mover's Distance,"(600.0, 2.0)",0.8020833333333334,0.9935483870967742,0.6724890829694323
LCDD,"(100.0, 100.0, 5.0)",0.2226935312831389,0.12673506336753168,0.9170305676855895
LCDD,"(100.0, 100.0, 10.0)",0.2226935312831389,0.12673506336753168,0.9170305676855895
LCDD,"(100.0, 100.0, 20.0)",0.2226935312831389,0.12673506336753168,0.9170305676855895
LCDD,"(100.0, 100.0, 50.0)",0.2226935312831389,0.12673506336753168,0.9170305676855895
LCDD,"(100.0, 100.0, 100.0)",0.2226935312831389,0.12673506336753168,0.9170305676855895
LCDD,"(100.0, 100.0, 150.0)",0.2226935312831389,0.12673506336753168,0.9170305676855895
LCDD,"(100.0, 100.0, 200.0)",0.2226935312831389,0.12673506336753168,0.9170305676855895
LCDD,"(200.0, 200.0, 5.0)",0.38321167883211676,0.2422145328719723,0.9170305676855895
LCDD,"(200.0, 200.0, 10.0)",0.38321167883211676,0.2422145328719723,0.9170305676855895
LCDD,"(200.0, 200.0, 20.0)",0.38321167883211676,0.2422145328719723,0.9170305676855895
LCDD,"(200.0, 200.0, 50.0)",0.38321167883211676,0.2422145328719723,0.9170305676855895
LCDD,"(200.0, 200.0, 100.0)",0.38321167883211676,0.2422145328719723,0.9170305676855895
LCDD,"(200.0, 200.0, 150.0)",0.38321167883211676,0.2422145328719723,0.9170305676855895
LCDD,"(200.0, 200.0, 200.0)",0.38321167883211676,0.2422145328719723,0.9170305676855895
LCDD,"(300.0, 300.0, 5.0)",0.5035799522673031,0.3464696223316913,0.9213973799126638
LCDD,"(300.0, 300.0, 10.0)",0.5035799522673031,0.3464696223316913,0.9213973799126638
LCDD,"(300.0, 300.0, 20.0)",0.5035799522673031,0.3464696223316913,0.9213973799126638
LCDD,"(300.0, 300.0, 50.0)",0.5035799522673031,0.3464696223316913,0.9213973799126638
LCDD,"(300.0, 300.0, 100.0)",0.5035799522673031,0.3464696223316913,0.9213973799126638
LCDD,"(300.0, 300.0, 150.0)",0.5035799522673031,0.3464696223316913,0.9213973799126638
LCDD,"(300.0, 300.0, 200.0)",0.5035799522673031,0.3464696223316913,0.9213973799126638
LCDD,"(400.0, 400.0, 5.0)",0.5757162346521146,0.41865079365079366,0.9213973799126638
LCDD,"(400.0, 400.0, 10.0)",0.5757162346521146,0.41865079365079366,0.9213973799126638
LCDD,"(400.0, 400.0, 20.0)",0.5757162346521146,0.41865079365079366,0.9213973799126638
LCDD,"(400.0, 400.0, 50.0)",0.5757162346521146,0.41865079365079366,0.9213973799126638
LCDD,"(400.0, 400.0, 100.0)",0.5757162346521146,0.41865079365079366,0.9213973799126638
LCDD,"(400.0, 400.0, 150.0)",0.5757162346521146,0.41865079365079366,0.9213973799126638
LCDD,"(400.0, 400.0, 200.0)",0.5757162346521146,0.41865079365079366,0.9213973799126638
LCDD,"(600.0, 600.0, 5.0)",0.5533769063180828,0.5521739130434783,0.5545851528384279
LCDD,"(600.0, 600.0, 10.0)",0.5533769063180828,0.5521739130434783,0.5545851528384279
LCDD,"(600.0, 600.0, 20.0)",0.5533769063180828,0.5521739130434783,0.5545851528384279
LCDD,"(600.0, 600.0, 50.0)",0.5533769063180828,0.5521739130434783,0.5545851528384279
LCDD,"(600.0, 600.0, 100.0)",0.5533769063180828,0.5521739130434783,0.5545851528384279
LCDD,"(600.0, 600.0, 150.0)",0.5533769063180828,0.5521739130434783,0.5545851528384279
