log_name,drift_types,change_trace_idx
log_1000_1708942931.xes,,
log_1001_1708942933.xes,"sudden, sudden","[(2167, 2167), (3758, 3758)]"
log_1002_1708942938.xes,sudden,"[(2010, 2010)]"
log_1003_1708942940.xes,,
log_1004_1708942942.xes,sudden,"[(3171, 3171)]"
log_1005_1708942944.xes,sudden,"[(1894, 1894)]"
log_1006_1708942947.xes,sudden,"[(1329, 1329)]"
log_1007_1708942952.xes,"sudden, sudden","[(1578, 1578), (3758, 3758)]"
log_1008_1708942956.xes,,
log_1009_1708942959.xes,"sudden, sudden","[(1824, 1824), (3458, 3458)]"
log_100_1708942821.xes,sudden,"[(1009, 1009)]"
log_1010_1708942967.xes,sudden,"[(1365, 1365)]"
log_1011_1708942978.xes,,
log_1012_1708942983.xes,sudden,"[(1868, 1868)]"
log_1013_1708942989.xes,,
log_1014_1708942991.xes,"sudden, sudden","[(2295, 2295), (4056, 4056)]"
log_1015_1708942999.xes,sudden,"[(1668, 1668)]"
log_1016_1708943001.xes,,
log_1017_1708943006.xes,"sudden, sudden","[(2230, 2230), (4376, 4376)]"
log_1018_1708943011.xes,,
log_1019_1708943014.xes,,
log_101_1708942821.xes,sudden,"[(1155, 1155)]"
log_1020_1708943018.xes,,
log_1021_1708943024.xes,,
log_1022_1708943026.xes,,
log_1023_1708943039.xes,sudden,"[(1922, 1922)]"
log_1024_1708943050.xes,,
log_1025_1708943060.xes,sudden,"[(3152, 3152)]"
log_1026_1708943068.xes,,
log_1027_1708942889.xes,sudden,"[(1792, 1792)]"
log_1028_1708942893.xes,sudden,"[(2158, 2158)]"
log_1029_1708942897.xes,,
log_102_1708942825.xes,"sudden, sudden","[(1933, 1933), (3974, 3974)]"
log_1030_1708942904.xes,sudden,"[(1889, 1889)]"
log_1031_1708942906.xes,sudden,"[(1166, 1166)]"
log_1032_1708942909.xes,sudden,"[(3225, 3225)]"
log_1033_1708942922.xes,,
log_1034_1708942931.xes,sudden,"[(2678, 2678)]"
log_1035_1708942945.xes,,
log_1036_1708942947.xes,sudden,"[(1887, 1887)]"
log_1037_1708942957.xes,,
log_1038_1708942959.xes,"sudden, sudden","[(1859, 1859), (3996, 3996)]"
log_1039_1708942967.xes,sudden,"[(1952, 1952)]"
log_103_1708942831.xes,gradual,"[(1946, 2592)]"
log_1040_1708942977.xes,sudden,"[(1168, 1168)]"
log_1041_1708942979.xes,sudden,"[(1189, 1189)]"
log_1042_1708942980.xes,sudden,"[(1346, 1346)]"
log_1043_1708942982.xes,sudden,"[(1967, 1967)]"
log_1044_1708942989.xes,,
log_1045_1708942991.xes,"sudden, sudden","[(1410, 1410), (2768, 2768)]"
log_1046_1708942996.xes,,
log_1047_1708942998.xes,sudden,"[(1516, 1516)]"
log_1048_1708943006.xes,,
log_1049_1708943012.xes,sudden,"[(2378, 2378)]"
log_104_1708942838.xes,"sudden, sudden, sudden","[(2010, 2010), (3603, 3603), (5494, 5494)]"
log_1050_1708943014.xes,sudden,"[(1591, 1591)]"
log_1051_1708943029.xes,sudden,"[(1199, 1199)]"
log_1052_1708943031.xes,,
log_1053_1708943033.xes,sudden,"[(1562, 1562)]"
log_1054_1708943035.xes,sudden,"[(1610, 1610)]"
log_1055_1708943045.xes,sudden,"[(1315, 1315)]"
log_1056_1708943050.xes,,
log_1057_1708943057.xes,,
log_1058_1708943060.xes,,
log_1059_1708943063.xes,,
log_105_1708942842.xes,"sudden, sudden","[(2014, 2014), (4254, 4254)]"
log_1060_1708943070.xes,,
log_1061_1708943071.xes,sudden,"[(1633, 1633)]"
log_1062_1708943075.xes,sudden,"[(1159, 1159)]"
log_1063_1708943076.xes,sudden,"[(1137, 1137)]"
log_1064_1708943078.xes,sudden,"[(2033, 2033)]"
log_1065_1708942892.xes,sudden,"[(1583, 1583)]"
log_1066_1708942905.xes,,
log_1067_1708942908.xes,,
log_1068_1708942915.xes,sudden,"[(1513, 1513)]"
log_1069_1708942918.xes,,
log_106_1708942846.xes,,
log_1070_1708942930.xes,,
log_1071_1708942931.xes,sudden,"[(1484, 1484)]"
log_1072_1708942947.xes,"sudden, sudden","[(2099, 2099), (3867, 3867)]"
log_1073_1708942952.xes,sudden,"[(1934, 1934)]"
log_1074_1708942954.xes,sudden,"[(1542, 1542)]"
log_1075_1708942957.xes,sudden,"[(1650, 1650)]"
log_1076_1708942961.xes,"sudden, sudden","[(1014, 1014), (2641, 2641)]"
log_1077_1708942963.xes,"sudden, sudden","[(2106, 2106), (3357, 3357)]"
log_1078_1708942966.xes,sudden,"[(2452, 2452)]"
log_1079_1708942969.xes,,
log_107_1708942849.xes,sudden,"[(2172, 2172)]"
log_1080_1708942973.xes,sudden,"[(4325, 4325)]"
log_1081_1708942983.xes,,
log_1082_1708942988.xes,,
log_1083_1708942995.xes,,
log_1084_1708943001.xes,sudden,"[(1580, 1580)]"
log_1085_1708943004.xes,sudden,"[(3223, 3223)]"
log_1086_1708943011.xes,,
log_1087_1708943018.xes,sudden,"[(2789, 2789)]"
log_1088_1708943022.xes,sudden,"[(2179, 2179)]"
log_1089_1708943029.xes,sudden,"[(1697, 1697)]"
log_108_1708942855.xes,,
log_1090_1708943038.xes,"sudden, sudden","[(1964, 1964), (3547, 3547)]"
log_1091_1708943045.xes,sudden,"[(1891, 1891)]"
log_1092_1708943050.xes,sudden,"[(1545, 1545)]"
log_1093_1708943051.xes,"sudden, sudden","[(1314, 1314), (3427, 3427)]"
log_1094_1708943053.xes,gradual,"[(2458, 3310)]"
log_1095_1708943057.xes,"sudden, sudden, sudden","[(1940, 1940), (4207, 4207), (6073, 6073)]"
log_1096_1708943060.xes,,
log_1097_1708943062.xes,"sudden, sudden","[(1784, 1784), (3215, 3215)]"
log_1098_1708943068.xes,sudden,"[(1489, 1489)]"
log_1099_1708943070.xes,sudden,"[(1518, 1518)]"
log_109_1708942861.xes,"sudden, sudden","[(1947, 1947), (3764, 3764)]"
log_10_1708942765.xes,sudden,"[(1923, 1923)]"
log_1100_1708943077.xes,sudden,"[(1349, 1349)]"
log_1101_1708943078.xes,"sudden, sudden","[(1858, 1858), (3091, 3091)]"
log_1102_1708943080.xes,,
log_1103_1708942893.xes,sudden,"[(1157, 1157)]"
log_1104_1708942895.xes,,
log_1105_1708942902.xes,,
log_1106_1708942905.xes,"sudden, sudden","[(1694, 1694), (3323, 3323)]"
log_1107_1708942912.xes,"sudden, sudden","[(1974, 1974), (3771, 3771)]"
log_1108_1708942920.xes,sudden,"[(1492, 1492)]"
log_1109_1708942923.xes,"sudden, sudden, sudden","[(1670, 1670), (3499, 3499), (5065, 5065)]"
log_110_1708942867.xes,"sudden, sudden, sudden","[(1768, 1768), (3799, 3799), (5608, 5608)]"
log_1110_1708942930.xes,"sudden, sudden, sudden","[(2115, 2115), (4035, 4035), (5715, 5715)]"
log_1111_1708942936.xes,sudden,"[(1991, 1991)]"
log_1112_1708942954.xes,sudden,"[(1658, 1658)]"
log_1113_1708942959.xes,,
log_1114_1708942963.xes,,
log_1115_1708942965.xes,sudden,"[(1740, 1740)]"
log_1116_1708942966.xes,"sudden, sudden","[(1875, 1875), (3351, 3351)]"
log_1117_1708942971.xes,,
log_1118_1708942975.xes,sudden,"[(2564, 2564)]"
log_1119_1708942980.xes,"sudden, sudden","[(1050, 1050), (2113, 2113)]"
log_111_1708942873.xes,sudden,"[(1660, 1660)]"
log_1120_1708942985.xes,"sudden, sudden","[(1870, 1870), (3645, 3645)]"
log_1121_1708942987.xes,,
log_1122_1708942992.xes,sudden,"[(1332, 1332)]"
log_1123_1708942997.xes,sudden,"[(2029, 2029)]"
log_1124_1708942999.xes,sudden,"[(1971, 1971)]"
log_1125_1708943005.xes,,
log_1126_1708943006.xes,,
log_1127_1708943009.xes,,
log_1128_1708943011.xes,sudden,"[(1407, 1407)]"
log_1129_1708943014.xes,,
log_112_1708942876.xes,,
log_1130_1708943017.xes,"sudden, sudden, sudden","[(1966, 1966), (3564, 3564), (5461, 5461)]"
log_1131_1708943022.xes,sudden,"[(2053, 2053)]"
log_1132_1708943029.xes,sudden,"[(2323, 2323)]"
log_1133_1708943033.xes,sudden,"[(1615, 1615)]"
log_1134_1708943035.xes,"gradual, sudden","[(1886, 2769), (4470, 4470)]"
log_1135_1708943042.xes,sudden,"[(1097, 1097)]"
log_1136_1708943043.xes,sudden,"[(1942, 1942)]"
log_1137_1708943051.xes,sudden,"[(1759, 1759)]"
log_1138_1708943055.xes,,
log_1139_1708943057.xes,"sudden, sudden","[(1948, 1948), (3989, 3989)]"
log_113_1708942882.xes,"sudden, sudden","[(1618, 1618), (3818, 3818)]"
log_1140_1708943060.xes,sudden,"[(1710, 1710)]"
log_1141_1708942896.xes,sudden,"[(1672, 1672)]"
log_1142_1708942901.xes,"sudden, sudden","[(1827, 1827), (5165, 5165)]"
log_1143_1708942909.xes,,
log_1144_1708942911.xes,sudden,"[(2070, 2070)]"
log_1145_1708942914.xes,"sudden, sudden, sudden","[(2194, 2194), (3762, 3762), (5403, 5403)]"
log_1146_1708942920.xes,,
log_1147_1708942928.xes,"sudden, sudden","[(1745, 1745), (3902, 3902)]"
log_1148_1708942935.xes,,
log_1149_1708942951.xes,,
log_114_1708942887.xes,,
log_1150_1708942952.xes,sudden,"[(2566, 2566)]"
log_1151_1708942958.xes,sudden,"[(2383, 2383)]"
log_1152_1708942961.xes,,
log_1153_1708942963.xes,sudden,"[(1615, 1615)]"
log_1154_1708942968.xes,,
log_1155_1708942969.xes,sudden,"[(1510, 1510)]"
log_1156_1708942971.xes,sudden,"[(3247, 3247)]"
log_1157_1708942980.xes,,
log_1158_1708942982.xes,"sudden, sudden","[(1668, 1668), (3567, 3567)]"
log_1159_1708942985.xes,,
log_115_1708942732.xes,,
log_1160_1708942991.xes,,
log_1161_1708942993.xes,sudden,"[(1832, 1832)]"
log_1162_1708942996.xes,"sudden, sudden, sudden","[(1389, 1389), (2932, 2932), (4522, 4522)]"
log_1163_1708943003.xes,sudden,"[(2320, 2320)]"
log_1164_1708943005.xes,,
log_1165_1708943010.xes,sudden,"[(1882, 1882)]"
log_1166_1708943014.xes,,
log_1167_1708943016.xes,gradual,"[(2735, 2923)]"
log_1168_1708943034.xes,sudden,"[(2233, 2233)]"
log_1169_1708943045.xes,,
log_116_1708942735.xes,,
log_1170_1708943052.xes,sudden,"[(1687, 1687)]"
log_1171_1708943055.xes,,
log_1172_1708943057.xes,sudden,"[(1626, 1626)]"
log_1173_1708943067.xes,,
log_1174_1708943070.xes,,
log_1175_1708943075.xes,sudden,"[(1909, 1909)]"
log_1176_1708943079.xes,"sudden, sudden","[(1326, 1326), (2882, 2882)]"
log_1177_1708943081.xes,,
log_1178_1708943084.xes,"sudden, sudden","[(2097, 2097), (4139, 4139)]"
log_1179_1708942897.xes,sudden,"[(3891, 3891)]"
log_117_1708942736.xes,"sudden, sudden, sudden","[(1448, 1448), (2743, 2743), (4441, 4441)]"
log_1180_1708942904.xes,"sudden, sudden, sudden","[(1998, 1998), (3095, 3095), (5489, 5489)]"
log_1181_1708942911.xes,,
log_1182_1708942913.xes,,
log_1183_1708942916.xes,"sudden, sudden","[(1177, 1177), (2528, 2528)]"
log_1184_1708942920.xes,,
log_1185_1708942923.xes,,
log_1186_1708942928.xes,sudden,"[(1742, 1742)]"
log_1187_1708942933.xes,,
log_1188_1708942939.xes,sudden,"[(1441, 1441)]"
log_1189_1708942942.xes,,
log_118_1708942740.xes,sudden,"[(1136, 1136)]"
log_1190_1708942949.xes,,
log_1191_1708942959.xes,sudden,"[(1784, 1784)]"
log_1192_1708942962.xes,,
log_1193_1708942964.xes,,
log_1194_1708942965.xes,"sudden, sudden, sudden","[(2275, 2275), (4369, 4369), (5846, 5846)]"
log_1195_1708942971.xes,,
log_1196_1708942978.xes,,
log_1197_1708942981.xes,sudden,"[(1414, 1414)]"
log_1198_1708942983.xes,,
log_1199_1708942984.xes,sudden,"[(722, 722)]"
log_119_1708942749.xes,,
log_11_1708942767.xes,"sudden, sudden, sudden","[(1196, 1196), (3173, 3173), (5114, 5114)]"
log_1200_1708942996.xes,,
log_1201_1708943000.xes,sudden,"[(2147, 2147)]"
log_1202_1708943006.xes,,
log_1203_1708943010.xes,,
log_1204_1708943011.xes,sudden,"[(2322, 2322)]"
log_1205_1708943016.xes,sudden,"[(1563, 1563)]"
log_1206_1708943018.xes,sudden,"[(1506, 1506)]"
log_1207_1708943021.xes,,
log_1208_1708943027.xes,sudden,"[(1305, 1305)]"
log_1209_1708943029.xes,,
log_120_1708942758.xes,sudden,"[(1540, 1540)]"
log_1210_1708943030.xes,"sudden, sudden","[(1553, 1553), (3499, 3499)]"
log_1211_1708943034.xes,sudden,"[(2189, 2189)]"
log_1212_1708943037.xes,sudden,"[(1201, 1201)]"
log_1213_1708943051.xes,sudden,"[(1397, 1397)]"
log_1214_1708943057.xes,sudden,"[(1709, 1709)]"
log_1215_1708943060.xes,gradual,"[(1979, 2836)]"
log_1216_1708943062.xes,,
log_1217_1708942897.xes,,
log_1218_1708942898.xes,sudden,"[(1726, 1726)]"
log_1219_1708942901.xes,sudden,"[(1665, 1665)]"
log_121_1708942764.xes,sudden,"[(1522, 1522)]"
log_1220_1708942902.xes,,
log_1221_1708942904.xes,,
log_1222_1708942908.xes,sudden,"[(1136, 1136)]"
log_1223_1708942911.xes,"sudden, sudden","[(1429, 1429), (2690, 2690)]"
log_1224_1708942916.xes,,
log_1225_1708942919.xes,,
log_1226_1708942926.xes,sudden,"[(1853, 1853)]"
log_1227_1708942928.xes,"sudden, sudden, sudden","[(1994, 1994), (3928, 3928), (6246, 6246)]"
log_1228_1708942937.xes,"sudden, sudden","[(1515, 1515), (3710, 3710)]"
log_1229_1708942940.xes,sudden,"[(1751, 1751)]"
log_122_1708942770.xes,sudden,"[(1598, 1598)]"
log_1230_1708942952.xes,,
log_1231_1708942955.xes,,
log_1232_1708942960.xes,sudden,"[(1942, 1942)]"
log_1233_1708942964.xes,"sudden, sudden, sudden","[(1209, 1209), (2764, 2764), (4648, 4648)]"
log_1234_1708942975.xes,"sudden, sudden","[(1418, 1418), (3136, 3136)]"
log_1235_1708942979.xes,sudden,"[(1727, 1727)]"
log_1236_1708942984.xes,"sudden, sudden, sudden","[(1399, 1399), (2620, 2620), (4463, 4463)]"
log_1237_1708942988.xes,sudden,"[(1520, 1520)]"
log_1238_1708942992.xes,sudden,"[(1394, 1394)]"
log_1239_1708942996.xes,,
log_123_1708942772.xes,sudden,"[(1856, 1856)]"
log_1240_1708942999.xes,sudden,"[(1932, 1932)]"
log_1241_1708943001.xes,,
log_1242_1708943004.xes,"sudden, sudden","[(1989, 1989), (5147, 5147)]"
log_1243_1708943009.xes,sudden,"[(2153, 2153)]"
log_1244_1708943014.xes,,
log_1245_1708943022.xes,,
log_1246_1708943028.xes,sudden,"[(1303, 1303)]"
log_1247_1708943030.xes,,
log_1248_1708943031.xes,sudden,"[(1132, 1132)]"
log_1249_1708943035.xes,,
log_124_1708942780.xes,,
log_1250_1708943037.xes,,
log_1251_1708943041.xes,"sudden, sudden, sudden","[(1970, 1970), (3283, 3283), (4846, 4846)]"
log_1252_1708943046.xes,,
log_1253_1708943050.xes,sudden,"[(1249, 1249)]"
log_1254_1708943055.xes,,
log_1255_1708942898.xes,"sudden, sudden, sudden","[(1945, 1945), (3610, 3610), (5048, 5048)]"
log_1256_1708942908.xes,sudden,"[(2005, 2005)]"
log_1257_1708942909.xes,sudden,"[(1663, 1663)]"
log_1258_1708942912.xes,sudden,"[(1540, 1540)]"
log_1259_1708942913.xes,,
log_125_1708942783.xes,,
log_1260_1708942915.xes,"sudden, sudden","[(2134, 2134), (3882, 3882)]"
log_1261_1708942923.xes,"sudden, sudden","[(1308, 1308), (3127, 3127)]"
log_1262_1708942927.xes,,
log_1263_1708942929.xes,sudden,"[(2237, 2237)]"
log_1264_1708942937.xes,,
log_1265_1708942939.xes,,
log_1266_1708942941.xes,,
log_1267_1708942944.xes,sudden,"[(3713, 3713)]"
log_1268_1708942955.xes,sudden,"[(1501, 1501)]"
log_1269_1708942957.xes,"gradual, sudden","[(2191, 2387), (3654, 3654)]"
log_126_1708942785.xes,sudden,"[(1534, 1534)]"
log_1270_1708942966.xes,,
log_1271_1708942967.xes,"sudden, sudden, sudden","[(1532, 1532), (2586, 2586), (4854, 4854)]"
log_1272_1708942973.xes,,
log_1273_1708942974.xes,,
log_1274_1708942980.xes,sudden,"[(1855, 1855)]"
log_1275_1708942984.xes,"sudden, sudden","[(1992, 1992), (5197, 5197)]"
log_1276_1708942990.xes,,
log_1277_1708942997.xes,,
log_1278_1708942999.xes,sudden,"[(2288, 2288)]"
log_1279_1708943002.xes,,
log_127_1708942788.xes,,
log_1280_1708943007.xes,,
log_1281_1708943009.xes,sudden,"[(2134, 2134)]"
log_1282_1708943013.xes,sudden,"[(1326, 1326)]"
log_1283_1708943018.xes,sudden,"[(2084, 2084)]"
log_1284_1708943022.xes,,
log_1285_1708943026.xes,"sudden, sudden, sudden","[(1712, 1712), (3194, 3194), (4369, 4369)]"
log_1286_1708943030.xes,sudden,"[(1365, 1365)]"
log_1287_1708943034.xes,sudden,"[(1507, 1507)]"
log_1288_1708943036.xes,sudden,"[(1445, 1445)]"
log_1289_1708943038.xes,,
log_128_1708942792.xes,,
log_1290_1708943043.xes,sudden,"[(1487, 1487)]"
log_1291_1708943051.xes,sudden,"[(1412, 1412)]"
log_1292_1708943054.xes,sudden,"[(1101, 1101)]"
log_1293_1708942899.xes,sudden,"[(1755, 1755)]"
log_1294_1708942906.xes,,
log_1295_1708942909.xes,sudden,"[(2008, 2008)]"
log_1296_1708942914.xes,"sudden, sudden, sudden","[(1091, 1091), (3136, 3136), (5360, 5360)]"
log_1297_1708942922.xes,sudden,"[(1902, 1902)]"
log_1298_1708942925.xes,,
log_1299_1708942935.xes,,
log_129_1708942803.xes,,
log_12_1708942773.xes,"sudden, sudden","[(1725, 1725), (3409, 3409)]"
log_1300_1708942937.xes,sudden,"[(1301, 1301)]"
