log_name,drift_types,change_trace_idx
log_1000_1708942931.xes,,
log_1001_1708942933.xes,"sudden, sudden","[(2101, 2101), (3794, 3794)]"
log_1002_1708942938.xes,sudden,"[(2015, 2015)]"
log_1003_1708942940.xes,,
log_1004_1708942942.xes,"gradual, sudden","[(464, 1752), (3169, 3169)]"
log_1005_1708942944.xes,,
log_1006_1708942947.xes,sudden,"[(1335, 1335)]"
log_1007_1708942952.xes,sudden,"[(3738, 3738)]"
log_1008_1708942956.xes,,
log_1009_1708942959.xes,"sudden, sudden","[(1782, 1782), (3522, 3522)]"
log_100_1708942821.xes,sudden,"[(1009, 1009)]"
log_1010_1708942967.xes,sudden,"[(1365, 1365)]"
log_1011_1708942978.xes,"sudden, sudden, sudden, sudden, sudden, gradual, sudden","[(136, 136), (1734, 1734), (3450, 3450), (4891, 4891), (5219, 5219), (5740, 6139), (6381, 6381)]"
log_1012_1708942983.xes,sudden,"[(1868, 1868)]"
log_1013_1708942989.xes,,
log_1014_1708942991.xes,sudden,"[(4050, 4050)]"
log_1015_1708942999.xes,,
log_1016_1708943001.xes,"sudden, sudden, sudden","[(1209, 1209), (3025, 3025), (4222, 4222)]"
log_1017_1708943006.xes,"sudden, sudden","[(2199, 2199), (4184, 4184)]"
log_1018_1708943011.xes,,
log_1019_1708943014.xes,,
log_101_1708942821.xes,sudden,"[(1155, 1155)]"
log_1020_1708943018.xes,,
log_1021_1708943024.xes,,
log_1022_1708943026.xes,sudden,"[(1459, 1459)]"
log_1023_1708943039.xes,sudden,"[(1938, 1938)]"
log_1024_1708943050.xes,,
log_1025_1708943060.xes,sudden,"[(3207, 3207)]"
log_1026_1708943068.xes,sudden,"[(4110, 4110)]"
log_1027_1708942889.xes,sudden,"[(1800, 1800)]"
log_1028_1708942893.xes,,
log_1029_1708942897.xes,,
log_102_1708942825.xes,sudden,"[(1999, 1999)]"
log_1030_1708942904.xes,sudden,"[(1879, 1879)]"
log_1031_1708942906.xes,,
log_1032_1708942909.xes,sudden,"[(3225, 3225)]"
log_1033_1708942922.xes,gradual,"[(230, 668)]"
log_1034_1708942931.xes,sudden,"[(1858, 1858)]"
log_1035_1708942945.xes,,
log_1036_1708942947.xes,sudden,"[(1871, 1871)]"
log_1037_1708942957.xes,,
log_1038_1708942959.xes,"sudden, sudden","[(1852, 1852), (3996, 3996)]"
log_1039_1708942967.xes,sudden,"[(1952, 1952)]"
log_103_1708942831.xes,sudden,"[(3566, 3566)]"
log_1040_1708942977.xes,sudden,"[(1189, 1189)]"
log_1041_1708942979.xes,"sudden, sudden, sudden","[(140, 140), (1189, 1189), (2023, 2023)]"
log_1042_1708942980.xes,sudden,"[(1375, 1375)]"
log_1043_1708942982.xes,sudden,"[(1878, 1878)]"
log_1044_1708942989.xes,,
log_1045_1708942991.xes,"sudden, sudden","[(1433, 1433), (2773, 2773)]"
log_1046_1708942996.xes,,
log_1047_1708942998.xes,,
log_1048_1708943006.xes,,
log_1049_1708943012.xes,sudden,"[(2424, 2424)]"
log_104_1708942838.xes,"sudden, sudden, sudden","[(1947, 1947), (3558, 3558), (5482, 5482)]"
log_1050_1708943014.xes,sudden,"[(1591, 1591)]"
log_1051_1708943029.xes,,
log_1052_1708943031.xes,,
log_1053_1708943033.xes,sudden,"[(1549, 1549)]"
log_1054_1708943035.xes,sudden,"[(1544, 1544)]"
log_1055_1708943045.xes,sudden,"[(1329, 1329)]"
log_1056_1708943050.xes,"sudden, sudden","[(1333, 1333), (2678, 2678)]"
log_1057_1708943057.xes,,
log_1058_1708943060.xes,,
log_1059_1708943063.xes,,
log_105_1708942842.xes,"sudden, sudden","[(2020, 2020), (4253, 4253)]"
log_1060_1708943070.xes,,
log_1061_1708943071.xes,,
log_1062_1708943075.xes,,
log_1063_1708943076.xes,sudden,"[(1144, 1144)]"
log_1064_1708943078.xes,sudden,"[(2013, 2013)]"
log_1065_1708942892.xes,sudden,"[(1587, 1587)]"
log_1066_1708942905.xes,,
log_1067_1708942908.xes,,
log_1068_1708942915.xes,sudden,"[(1514, 1514)]"
log_1069_1708942918.xes,,
log_106_1708942846.xes,,
log_1070_1708942930.xes,,
log_1071_1708942931.xes,sudden,"[(1498, 1498)]"
log_1072_1708942947.xes,"sudden, sudden","[(3852, 3852), (5001, 5001)]"
log_1073_1708942952.xes,sudden,"[(1905, 1905)]"
log_1074_1708942954.xes,sudden,"[(1556, 1556)]"
log_1075_1708942957.xes,,
log_1076_1708942961.xes,"sudden, sudden","[(1051, 1051), (2637, 2637)]"
log_1077_1708942963.xes,sudden,"[(3318, 3318)]"
log_1078_1708942966.xes,sudden,"[(2490, 2490)]"
log_1079_1708942969.xes,,
log_107_1708942849.xes,,
log_1080_1708942973.xes,sudden,"[(4325, 4325)]"
log_1081_1708942983.xes,,
log_1082_1708942988.xes,"sudden, sudden, sudden","[(1720, 1720), (2887, 2887), (4846, 4846)]"
log_1083_1708942995.xes,"sudden, sudden","[(1708, 1708), (3421, 3421)]"
log_1084_1708943001.xes,,
log_1085_1708943004.xes,sudden,"[(3214, 3214)]"
log_1086_1708943011.xes,,
log_1087_1708943018.xes,gradual,"[(3493, 4582)]"
log_1088_1708943022.xes,,
log_1089_1708943029.xes,sudden,"[(1697, 1697)]"
log_108_1708942855.xes,"sudden, sudden","[(1457, 1457), (3223, 3223)]"
log_1090_1708943038.xes,,
log_1091_1708943045.xes,sudden,"[(2182, 2182)]"
log_1092_1708943050.xes,,
log_1093_1708943051.xes,gradual,"[(3683, 5617)]"
log_1094_1708943053.xes,sudden,"[(3938, 3938)]"
log_1095_1708943057.xes,,
log_1096_1708943060.xes,,
log_1097_1708943062.xes,sudden,"[(3101, 3101)]"
log_1098_1708943068.xes,"sudden, sudden","[(1207, 1207), (1492, 1492)]"
log_1099_1708943070.xes,,
log_109_1708942861.xes,"sudden, sudden, sudden","[(144, 144), (1946, 1946), (3751, 3751)]"
log_10_1708942765.xes,,
log_1100_1708943077.xes,gradual,"[(175, 1254)]"
log_1101_1708943078.xes,,
log_1102_1708943080.xes,sudden,"[(2321, 2321)]"
log_1103_1708942893.xes,sudden,"[(1213, 1213)]"
log_1104_1708942895.xes,"sudden, sudden, sudden","[(2034, 2034), (3485, 3485), (5002, 5002)]"
log_1105_1708942902.xes,sudden,"[(3480, 3480)]"
log_1106_1708942905.xes,"sudden, sudden","[(1647, 1647), (3282, 3282)]"
log_1107_1708942912.xes,"sudden, sudden","[(1916, 1916), (3766, 3766)]"
log_1108_1708942920.xes,sudden,"[(1486, 1486)]"
log_1109_1708942923.xes,sudden,"[(1682, 1682)]"
log_110_1708942867.xes,"sudden, sudden, sudden","[(1794, 1794), (3799, 3799), (5590, 5590)]"
log_1110_1708942930.xes,,
log_1111_1708942936.xes,sudden,"[(1974, 1974)]"
log_1112_1708942954.xes,sudden,"[(1613, 1613)]"
log_1113_1708942959.xes,,
log_1114_1708942963.xes,,
log_1115_1708942965.xes,,
log_1116_1708942966.xes,,
log_1117_1708942971.xes,,
log_1118_1708942975.xes,sudden,"[(2562, 2562)]"
log_1119_1708942980.xes,"sudden, sudden","[(1040, 1040), (2117, 2117)]"
log_111_1708942873.xes,"sudden, sudden","[(1660, 1660), (2878, 2878)]"
log_1120_1708942985.xes,"sudden, sudden","[(1894, 1894), (3638, 3638)]"
log_1121_1708942987.xes,,
log_1122_1708942992.xes,sudden,"[(1332, 1332)]"
log_1123_1708942997.xes,,
log_1124_1708942999.xes,"sudden, sudden","[(1981, 1981), (2969, 2969)]"
log_1125_1708943005.xes,sudden,"[(112, 112)]"
log_1126_1708943006.xes,,
log_1127_1708943009.xes,,
log_1128_1708943011.xes,sudden,"[(1427, 1427)]"
log_1129_1708943014.xes,,
log_112_1708942876.xes,,
log_1130_1708943017.xes,"sudden, sudden, sudden","[(1962, 1962), (3577, 3577), (5447, 5447)]"
log_1131_1708943022.xes,sudden,"[(2281, 2281)]"
log_1132_1708943029.xes,,
log_1133_1708943033.xes,,
log_1134_1708943035.xes,,
log_1135_1708943042.xes,sudden,"[(1058, 1058)]"
log_1136_1708943043.xes,sudden,"[(1967, 1967)]"
log_1137_1708943051.xes,sudden,"[(1678, 1678)]"
log_1138_1708943055.xes,,
log_1139_1708943057.xes,"sudden, sudden, sudden","[(1493, 1493), (5311, 5311), (5729, 5729)]"
log_113_1708942882.xes,sudden,"[(3817, 3817)]"
log_1140_1708943060.xes,,
log_1141_1708942896.xes,sudden,"[(1672, 1672)]"
log_1142_1708942901.xes,,
log_1143_1708942909.xes,,
log_1144_1708942911.xes,,
log_1145_1708942914.xes,"sudden, sudden","[(3719, 3719), (5348, 5348)]"
log_1146_1708942920.xes,"sudden, sudden","[(3581, 3581), (5515, 5515)]"
