,Detected Changepoints,Actual Changepoints,Predicted Drift Types,Actual Drift Types,F1-Score,Precision,Recall,Average Lag,y_pred_sorted,y_true_sorted,n_traces
log_1000_1708942931.xes,[],[],[],[],,,,,[],[],3722
log_1001_1708942933.xes,"[(2101, 2101), (3794, 3794)]","[(1935, 2275), (3671, 4225)]","['sudden', 'sudden']","['gradual', 'gradual']",,,,,"[nan, nan, 'sudden', 'sudden']","['gradual', 'gradual', nan, nan]",5331
log_1002_1708942938.xes,"[(2015, 2015)]","[(1891, 2281)]",['sudden'],['gradual'],,,,,"[nan, 'sudden']","['gradual', nan]",3700
log_1003_1708942940.xes,[],"[(1296, 1296)]",[],['sudden'],,,,,[nan],['sudden'],2608
log_1004_1708942942.xes,"[(464, 1752), (3169, 3169)]","[(1185, 1530), (3149, 3149)]","['gradual', 'sudden']","['gradual', 'sudden']",0.5,0.5,0.5,40.0,"['sudden', nan, 'gradual']","['sudden', 'gradual', nan]",4487
log_1005_1708942944.xes,[],"[(1863, 2166)]",[],['gradual'],,,,,[nan],['gradual'],4120
log_1006_1708942947.xes,"[(1335, 1335)]","[(1121, 1630)]",['sudden'],['gradual'],,,,,"[nan, 'sudden']","['gradual', nan]",3236
log_1007_1708942952.xes,"[(3738, 3738)]","[(1328, 1732), (3635, 4141)]",['sudden'],"['gradual', 'gradual']",,,,,"[nan, nan, 'sudden']","['gradual', 'gradual', nan]",5332
log_1008_1708942956.xes,[],"[(1870, 1870), (3275, 3845), (5000, 5552)]",[],"['sudden', 'gradual', 'gradual']",,,,,"[nan, nan, nan]","['sudden', 'gradual', 'gradual']",6595
log_1009_1708942959.xes,"[(1782, 1782), (3522, 3522)]","[(1749, 1749), (3355, 3355), (5348, 5348)]","['sudden', 'sudden']","['sudden', 'sudden', 'sudden']",0.8,1.0,0.6666666666666666,200.0,"['sudden', 'sudden', nan]","['sudden', 'sudden', 'sudden']",7169
log_100_1708942821.xes,"[(1009, 1009)]","[(1036, 1036)]",['sudden'],['sudden'],1.0,1.0,1.0,54.0,['sudden'],['sudden'],2112
log_1010_1708942967.xes,"[(1365, 1365)]","[(1429, 1429), (3355, 3908)]",['sudden'],"['sudden', 'gradual']",0.6666666666666666,1.0,0.5,128.0,"['sudden', nan]","['sudden', 'gradual']",5537
log_1011_1708942978.xes,"[(136, 136), (1734, 1734), (3450, 3450), (4891, 4891), (5219, 5219), (5740, 6139), (6381, 6381)]","[(1734, 1734), (3470, 3470), (4902, 4902)]","['sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'gradual', 'sudden']","['sudden', 'sudden', 'sudden']",0.6,0.42857142857142855,1.0,20.666666666666668,"['sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'gradual', 'sudden']","['sudden', 'sudden', 'sudden', nan, nan, nan, nan]",6666
log_1012_1708942983.xes,"[(1868, 1868)]","[(1661, 1661), (3049, 3049)]",['sudden'],"['sudden', 'sudden']",0.6666666666666666,1.0,0.5,414.0,"['sudden', nan]","['sudden', 'sudden']",4477
log_1013_1708942989.xes,[],[],[],[],,,,,[],[],4056
log_1014_1708942991.xes,"[(4050, 4050)]","[(1905, 2463), (3861, 3861)]",['sudden'],"['gradual', 'sudden']",0.6666666666666666,1.0,0.5,378.0,"['sudden', nan]","['sudden', 'gradual']",5716
log_1015_1708942999.xes,[],"[(1481, 1932)]",[],['gradual'],,,,,[nan],['gradual'],3218
